command	numseqs	k	ss	time(s)
ctree	100	10	10000	33.4087553024292
ctree	100	12	500	41.95382475852966
ctree	100	12	750	42.14098334312439
ctree	100	12	1000	41.90441346168518
ctree	100	12	2500	41.69407296180725
ctree	100	12	5000	42.20659112930298
ctree	100	12	7500	42.58385372161865
ctree	100	12	10000	42.402817249298096
ctree	100	14	500	45.233954191207886
ctree	100	14	750	46.494144678115845
ctree	100	14	1000	46.05943822860718
ctree	100	14	2500	45.60729956626892
ctree	100	14	5000	45.50457787513733
ctree	100	14	7500	46.1700713634491
ctree	100	14	10000	45.24937629699707
ctree	100	16	500	46.974177837371826
ctree	100	16	750	46.63970398902893
ctree	100	16	1000	46.94735765457153
ctree	100	16	2500	48.0859956741333
ctree	100	16	5000	47.24016761779785
ctree	100	16	7500	47.38756322860718
ctree	100	16	10000	47.98133587837219
ctree	100	18	500	48.75608444213867
ctree	100	18	750	47.64055633544922
ctree	100	18	1000	47.666348934173584
ctree	100	18	2500	47.38098692893982
ctree	100	18	5000	47.787134647369385
ctree	100	18	7500	47.64793038368225
ctree	100	18	10000	48.37919592857361
prep	125			24.653493642807007
ctree	125	6	500	26.121468782424927
ctree	125	6	750	26.18316078186035
ctree	125	6	1000	26.635308265686035
ctree	125	6	2500	25.35514521598816
ctree	125	6	5000	25.7356538772583
ctree	125	6	7500	25.586155652999878
ctree	125	6	10000	25.672462701797485
ctree	125	8	500	30.763551950454712
ctree	125	8	750	30.50291156768799
ctree	125	8	1000	30.932071685791016
ctree	125	8	2500	30.06120777130127
ctree	125	8	5000	30.281006813049316
ctree	125	8	7500	29.874804735183716
ctree	125	8	10000	30.360044479370117
ctree	125	10	500	44.56860876083374
ctree	125	10	750	44.196447134017944
ctree	125	10	1000	44.906381368637085
ctree	125	10	2500	44.32343530654907
ctree	125	10	5000	44.40322470664978
ctree	125	10	7500	44.62667107582092
ctree	125	10	10000	45.14340782165527
ctree	125	12	500	56.58038568496704
ctree	125	12	750	57.265864610672
ctree	125	12	1000	57.451168060302734
ctree	125	12	2500	56.63507127761841
ctree	125	12	5000	56.65186619758606
ctree	125	12	7500	56.269662857055664
ctree	125	12	10000	56.182942390441895
ctree	125	14	500	62.14269542694092
ctree	125	14	750	61.871439695358276
ctree	125	14	1000	62.85123085975647
ctree	125	14	2500	62.963836669921875
ctree	125	14	5000	63.51513409614563
ctree	125	14	7500	62.60191798210144
ctree	125	14	10000	63.206799268722534
ctree	125	16	500	63.93512773513794
ctree	125	16	750	63.391178607940674
ctree	125	16	1000	63.86795496940613
ctree	125	16	2500	63.60075855255127
ctree	125	16	5000	63.9323468208313
ctree	125	16	7500	63.574849367141724
ctree	125	16	10000	63.85884428024292
ctree	125	18	500	66.33990335464478
ctree	125	18	750	65.82142472267151
ctree	125	18	1000	65.61667728424072
ctree	125	18	2500	64.8125832080841
ctree	125	18	5000	64.95548868179321
ctree	125	18	7500	64.3889262676239
ctree	125	18	10000	64.71918773651123
prep	150			33.00557994842529
ctree	150	6	500	30.30819058418274
ctree	150	6	750	30.817695379257202
ctree	150	6	1000	30.209954261779785
ctree	150	6	2500	30.138383388519287
ctree	150	6	5000	29.66161584854126
ctree	150	6	7500	30.438143253326416
ctree	150	6	10000	29.772504091262817
ctree	150	8	500	36.07774806022644
ctree	150	8	750	35.07670044898987
ctree	150	8	1000	35.557445764541626
ctree	150	8	2500	35.61976146697998
